Course Code,Title (TH),Title (EN),Created At
TKU00896,นวัตกรรมและการประยุกต์ใช้ AI,AI Intelligent Innovation and Application,2025
ICCS00895,วิกฤตพลังงานและภาวะโลกร้อน,Energy Crisis and Global Warming,2025
ICCS00894,"การฟื้นฟูแบตเตอรี่เก่า ",Reviving old batteries,2025
ICCS00893,การติดตั้งและบำรุงรักษาระบบเซลล์แสงอาทิตย์,Installation and maintenance of photovoltaic systems,2025
TMU00892,ปัญญาประดิษฐ์สำหรับการวิเคราะห์ข้อมูลจีโนมทางชีวสารสนเทศศาสตร์,AI for Genomic Data Analysis in Bioinformatics,2025
CJCU00891,เล่นกับการคิดเชิงตรรกะ ฝึกฝนพลังอิทธิพลในการตัดสินใจของคุณ,"Logical thinking, Decision-making and Influence",2025
ICCS00889,จุดประกายความคิดทางธุรกิจ,Start - up Inspiration,2025
TMU00888,ปัญญาประดิษฐ์ในชีวสารสนเทศ,Artificial Intelligence in Bioinformatics,2025
NKUHT00886,เฮลท์ตี้ เบกกิ้ง,Healthy Baking,2025
SRU00885,รู้สื่อ รู้สิทธิ ป้องกันการทำผิดทางดิจิทัล,"Media Literacy, Digital Citizenship, Prevention of Digital Literacy Mistakes",2025
ICCS00884,ภาษาอังกฤษในบริบทสากล,English in Global Context,2025
NITIVAJRA00882,ความรู้เกี่ยวกับการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ,Knowledge of Public Procurement and Supplies Administration,2025
PI00876,การเปลี่ยนแปลงทางสรีรวิทยาและจิตสังคมในระยะตั้งครรภ์ ระยะคลอด และ ระยะหลังคลอดปกติ,Physiological and Psychological Changes during Pregnancy,2025
NSO00875,การสื่อสารข้อมูลสถิติและการใช้เครื่องมือ BI สำหรับบุคลากรภาครัฐ,Communicating Statistical Data and Using BI Tools for Government Officials,2025
NSO00874,หลักการวิเคราะห์ข้อมูลสถิติและการประยุกต์ใช้ Machine Learning สำหรับบุคลากรภาครัฐ,Fundamentals of Statistical Data Analysis and Applied Machine Learning for Government Officials,2025
NSO00873,การจัดการข้อมูลอย่างปลอดภัย และการปฏิบัติงานด้านสถิติตามหลักจรรยาบรรณสำหรับบุคลากรภาครัฐ,Secure Data Management and Ethical Statistical Practices for Government Officials,2025
NSO00872,หลักสถิติพื้นฐานและการประมวลผลข้อมูลสำหรับบุคลากรภาครัฐ,Fundamentals of Statistics and Data Processing for Government Officials,2025
CU00870,ปลดล็อกพลัง AI ด้วยการเขียนโปรแกรมไพทอน (Python) สำหรับผู้เริ่มต้น,Unlocking the Power of AI with Python Programming for Beginners,2025
CU00869,STEM x BCG: กิจกรรมสะเต็มศึกษาเพื่อการพัฒนาที่ยั่งยืน,STEM x BCG: Shaping Innovators for a Sustainable World,2025
CU00868,อาชญากรรมทางเทคโนโลยีเบื้องต้น,Cyber Crime,2025
SRU00867,ฉลาดรู้ อยู่สบาย สไตล์ดิจิทัล,Intelligence Learning for Well-being in Digital Life Styles,2025
SRU00866,การเล่นเพื่อส่งเสริมพัฒนาการเด็กปฐมวัย,Enhancing early childhood’s development through play,2025
DOPAH00865,การส่งเสริมกิจกรรมทางกายสูงดี สมส่วน,Promoting Physical Activity for Optimal Growth,2025
NITIVAJRA00864,ความรู้เกี่ยวกับการดำเนินคดีปกครอง,Knowledge of administrative litigation,2025
CU00863,การออกแบบระบบเพื่อการจัดการความเสี่ยงจากภัยพิบัติ,System Design for Disaster Risk Management,2025
UMOOCs00862,สื่อมวลชนและการรู้เท่าทันสื่อ,Mass Media and Media Literacy,2025
CU00861,การคิดเชิงออกแบบเพื่อการจัดการความเสี่ยงจากภัยพิบัติ,Design Thinking for Disaster Risk Management,2025
UMOOCs00860,การพูดและการสื่อสาร,Speeches and Communication,2025
MICROSOFT00859,เสริมความปลอดภัยให้ Pipeline ด้วย Azure DevOps,Enhance Pipeline Security with Azure DevOps,2025
MICROSOFT00858,เรียนรู้การใช้ Cloud-native ด้วย Azure Container Apps,Cloud-native with Azure Container Apps,2025
MICROSOFT00857,การใช้งาน GitHub Copilot และเทคนิค Prompt Engineering,Prompt Engineering with GitHub Copilot,2025
MICROSOFT00856,ก้าวสู่การเป็น AI Developer ใน Azure AI,Azure AI: Zero to Hero,2025
MICROSOFT00855,Power BI สำหรับผู้เริ่มต้น,Power BI for Beginners,2025
MICROSOFT00854,หลักสูตร Microsoft 365 Copilot พร้อมกรณีการใช้งาน,Microsoft 365 Copilot with Use Cases,2025
MICROSOFT00853,หลักสูตรทักษะด้านเอไอ (AI) สำหรับทุกคน,AI Skills for Everyone,2025
MICROSOFT00852,หลักสูตรทักษะด้านเอไอ (AI) สำหรับพนักงานในองค์กรธุรกิจ,AI Skills for Business Professionals,2025
courses143,องค์ประกอบด้านความปลอดภัยของห้องปฏิบัติการ ที่เกี่ยวกับสารเคมี,null,2025
courses141,กฎหมายที่เกี่ยวข้องกับความปลอดภัยในห้องปฏิบัติการวิจัยและการประเมินความเสี่ยง,null,2025
courses140,ความรู้พื้นฐานและแนวปฏิบัติเพื่อความปลอดภัยในห้องปฏิบัติการวิจัย,null,2025
courses138,ความปลอดภัยทางชีวภาพและการรักษาความปลอดภัย ทางชีวภาพ พื้นฐาน,null,2025
courses137,การดูแลและการใช้สัตว์เพื่องานทางวิทยาศาสตร์,null,2025
courses80,วัฒนธรรมสเปนกับการท่องเที่ยว,Spanish Culture and Tourism,2025
courses88,การเข้ารหัสประยุกต์,Applied Coding,2025
courses106,การใช้ Microsoft Excel สำหรับการทำงานสำนักงาน,null,2025
courses69,ผลิตภัณฑ์อาหารโปรตีนทางเลือก,Alternative Protein Foods,2025
courses77,อาหารเพื่อสุขภาพและความยั่งยืน,Healthy and Sustainable Food,2025
courses71,ระบบไหลเวียนโลหิต,Circulatory System,2025
courses95,ความรู้เบื้องต้นเกี่ยวกับการช่วยฟื้นคืนชีพ,Basic Life Support,2025
courses96,การประเมินสัญญาณชีพ,Vital Signs,2025
courses98,การทำแผล,Wound Dressing,2020
courses76,การพัฒนางานโดยมุมมองของวิศวกรอุตสาหการ,Work Improvement by Industrial Engineer's Perspectives,2025
courses75,ภาษาไทยเบื้องต้นสำหรับชาวต่างประเทศ : 3-Day in Bangkok,3 Day in Bangkok,2025
courses100,ภาษามือเบื้องต้น,null,2025
courses102,ความรู้เบื้องต้นเกี่ยวกับวัฒนธรรมจีนกับการท่องเที่ยว,null,2025
courses103,ครูอาชีวะ กับ ทักษะศตวรรษ 21,Innotvet Project by Digitech EDKU 53,2025
courses3,การเพาะเลี้ยงเนื้อเยื่อพืชไม้โตเร็ว,null,2025
courses70,การประเมินคุณภาพเมล็ดพันธุ์พืชไร่,Evaluation of Field Crop Seed Quality,2025
courses74,การใช้งานเลื่อยโซ่ยนต์ขั้นพื้นฐาน,Basic Knowledge of Chainsaw Using,2025
OEC00851,การจัดการเรียนรู้ฐานสมรรถนะ,null,2025
courses84,เศรษฐศาสตร์การจัดการมลพิษและของเสีย,Economics of Pollution and Waste Management,2025
courses104,การปลูกเลี้ยงและดูแลแคคตัส,null,2025
courses72,หลักการพื้นฐานของคุณธรรม,null,2025
courses1,การเขียนโครงการเพื่อตอบสนองแผนกลยุทธ์องค์กร,null,2025
PSU00850,การพยาบาลสุขภาพจิตและจิตเวชศาสตร์,Mental Health and Psychiatric Nursing,2025
PSU00849,หัวใจแห่งการผดุงครรภ์,null,2025
PSU00848,การพยาบาลผู้ใหญ่,null,2025
CMU00847,ท้องถิ่นไทยยุคใหม่ ก้าวไกลด้วย Soft Power,null,2025
CMU00846,ปลุกพลังฝัน สร้างสรรค์อาชีพ,null,2025
CMU00845,สานพลังชุมชน สู่การพัฒนาอย่างยั่งยืน,Stronger Together: The Power of Community,2025
CMU00844,ชุมชนสุขภาพดี ชีวิตมีสุข,Better Living and Eating well,2025
CMU00843,เก่ง ดี มีสุขในชุมชน ด้วยทักษะชีวิต,null,2025
FGU00842,จิตวิทยา ตามแนวพุทธเพื่อการเยียวยาจิตใจ,null,2025
PSU00841,การพยาบาลเด็ก,Pediatric Nursing,2025
PSU00840,การพยาบาลสุขภาพสตรีและทารกแรกเกิด,Women’s Health and Newborn Nursing,2025
PSU00839,การพยาบาลอนามัยชุมชนและการดูแลรักษาโรคเบื้องต้น,Community Health Nursing and Primary Medical Care,2025
PSU00838,การพยาบาลปัจฉิมวัย,Geriatric Care,2025
PSU00837,กฎหมายและจริยธรรมสำหรับพยาบาล,Law and Ethics for Nurses,2025
SRU00836,ฉลาดคิด ฉลาดใช้ เข้าใจดิจิทัล,"Smart Thinking, Smart Usage, Digital Literacy",2025
